| n | Church Numeral (n^2) | Before Optimisation (median of 10) |
| - | - | - |
| 20 | 400 | 3.850000000000034e-4s |
| 40 | 1600 | 0.003355999999999998s |
| 60 | 3600 | 0.01183099999999998s |
| 80 | 6400 | 0.02729300000000001s |
| 100 | 10000 | 0.053987999999999925s |
| 120 | 14400 | 0.08044099999999998s |
| 140 | 19600 | 0.11346599999999984s |
| 160 | 25600 | 0.15777799999999953s |
| 180 | 32400 | 0.20613599999999987s |
| 200 | 40000 | 0.2734759999999987s |
| 220 | 48400 | 0.3548720000000003s |
| 240 | 57600 | 0.41949900000000007s |
| 260 | 67600 | 0.5083560000000027s |
| 280 | 78400 | 0.645659000000002s |
| 300 | 90000 | 0.7345469999999992s |
| 320 | 102400 | 0.8158349999999999s |
| 340 | 115600 | 0.9438249999999968s |
| 360 | 129600 | 1.107448000000005s |
| 380 | 144400 | 1.35475000000001s |
| 400 | 160000 | 1.4269729999999896s |
| 420 | 176400 | 1.7278280000000024s |
| 440 | 193600 | 1.845513000000011s |
| 460 | 211600 | 1.9597070000000087s |
| 480 | 230400 | 2.212220000000002s |
| 500 | 250000 | 2.4309539999999856s |

| n | Church Numeral (n^2) | After Optimisation (median of 10) |
| - | - | - |
| 20 | 400 | 3.2000000004472895e-5s |
| 40 | 1600 | 1.2099999997872146e-4s |
| 60 | 3600 | 2.639999999871634e-4s |
| 80 | 6400 | 5.579999999838492e-4s |
| 100 | 10000 | 7.999999999981355e-4s |
| 120 | 14400 | 0.0012279999999975644s |
| 140 | 19600 | 0.0017740000000117107s |
| 160 | 25600 | 0.002121000000016693s |
| 180 | 32400 | 0.0033129999999914617s |
| 200 | 40000 | 0.004126999999982672s |
| 220 | 48400 | 0.005357999999972662s |
| 240 | 57600 | 0.0066010000000176206s |
| 260 | 67600 | 0.008250000000003865s |
| 280 | 78400 | 0.009732999999982894s |
| 300 | 90000 | 0.011059999999986303s |
| 320 | 102400 | 0.01307800000000725s |
| 340 | 115600 | 0.016319000000009964s |
| 360 | 129600 | 0.018523999999985108s |
| 380 | 144400 | 0.020217999999999847s |
| 400 | 160000 | 0.025105999999993855s |
| 420 | 176400 | 0.02804899999998156s |
| 440 | 193600 | 0.02862899999999513s |
| 460 | 211600 | 0.03469900000001758s |
| 480 | 230400 | 0.039234999999990805s |
| 500 | 250000 | 0.041158999999993284s |
